Asset report 16/03/21,,
,,
,,
Post Code,Local Authority,Business area
CF31 4EH    ,Bridgend         ,Support
CF35 5FG    ,Bridgend         ,Support
CF62 6QS    ,VOG         ,Housing
CF83 3AS    ,Caerphilly         ,Housing
NP11 3PE    ,Caerphilly         ,Housing
CF83 4FU    ,Caerphilly         ,Housing
CF81 8RN    ,Caerphilly         ,Housing
NP12 2NP    ,Caerphilly         ,Housing
NP24 6AA    ,Caerphilly         ,Housing
CF83 4FZ    ,Caerphilly         ,Housing
NP11 7HP    ,Caerphilly         ,Housing
NP11 4XA    ,Caerphilly         ,Housing
NP1 4XA     ,Caerphilly         ,Housing
NP11 5LU    ,Caerphilly         ,Housing
CF82 7QG    ,Caerphilly         ,Housing
NP12 2NT    ,Caerphilly         ,Housing
NP11 7GB    ,Caerphilly         ,Housing
NP12 0HD    ,Caerphilly         ,Housing
NP22 5EU    ,Caerphilly         ,Housing
NP12 3UB    ,Caerphilly         ,Housing
NP12 3UE    ,Caerphilly         ,Housing
NP12 1AJ    ,Caerphilly         ,Housing
CF34 0PE    ,Bridgend         ,Housing
NP11 7HR    ,Caerphilly         ,Housing
NP11 6QB    ,Caerphilly         ,Housing
NP12 2LB    ,Caerphilly         ,Housing
NP11 7LZ    ,Caerphilly         ,Housing
CF83 3NX    ,Caerphilly         ,Housing
CF81 8LY    ,Caerphilly         ,Housing
CF83 2AX    ,Caerphilly         ,Care - Ty Penrhos
CF82 8EU    ,Caerphilly         ,Housing
CF83 1NS    ,Caerphilly         ,Housing
NP24 6NN    ,Caerphilly         ,Housing
NP12 2JH    ,Caerphilly         ,Housing
CF83 2PX    ,Caerphilly         ,Housing
CF81 8RJ    ,Caerphilly         ,Housing
CF82 8AT    ,Caerphilly         ,Housing
CF5 1HA     ,Cardiff,Housing
CF11 6BJ    ,Cardiff,Housing
CF5 1HX     ,Cardiff,Housing
CF11 9NN    ,Cardiff,Housing
CF3 1SF     ,Cardiff,Development
CF24 2SE    ,Cardiff,Housing
CF3 0HP     ,Cardiff,Development
CF3 5HS     ,Cardiff,Housing
CF23 7JP    ,Cardiff,Housing
CF24 1PE    ,Cardiff,Housing
CF24 1PN    ,Cardiff,Housing
CF11 9BH    ,Cardiff,Development
CF15 7NP    ,Cardiff,Development
CF3 0SD     ,Cardiff,Development
CF11 7JG    ,Cardiff,Development
CF5 4UN     ,Cardiff,Development
CF24 0HN    ,Cardiff,Housing
CF11 7AQ    ,Cardiff,Development
CF5 5BW     ,Cardiff,Housing
CF10 5DZ    ,Cardiff,Housing
CF5 4NG     ,Cardiff,Housing
CF3 5LY     ,Cardiff,Housing
CF3 1RS     ,Cardiff,Support
CF3 0DF     ,Cardiff,Development
CF23 9PN    ,Cardiff,Housing
CF3 5NE     ,Cardiff,Housing
CF14 2SG    ,Cardiff,Development
CF3 1RL     ,Cardiff,Development
SA31 3EF    ,Carmarthen        ,Support
CF15 9PN    ,Cardiff,Housing
CF15 9RA    ,Cardiff,Housing
CF24 4FG    ,Cardiff,Housing
